beta,se,pvalue,n_obs,intercept,intercept_se,intercept_ci,country,series
0.820256634330218,0.6188516978903624,0.1850221294164387,35.0,-5.57965764554687,6.57506036525884,[-18.46653916   7.30722387],japan,Mens Wear
1.3948175693380556,0.7033477182199246,0.0473548777573506,35.0,-11.255750078381809,7.465609548533813,[-25.88807592   3.37657576],japan,Womens Wear
7.276750622716662,0.5483181815974669,3.408333629919963e-40,35.0,-69.99751025792793,5.443090679918619,[-80.66577196 -59.32924856],mexico,Beauty
5.226553445798192,0.35644026220207925,1.1092621899808818e-48,35.0,-50.26483932056422,3.5385492745205833,[-57.20026846 -43.32941018],mexico,Skincare
1.0921634468691084,1.4812438009421587,0.46092253204842026,35.0,-8.366875972133386,14.716738996124821,[-37.21115437  20.47740243],mexico,Mens Wear
0.362786625446994,1.6618458979784259,0.8271927181949145,35.0,-1.3187239051746644,16.513331588863526,[-33.68425908  31.04681127],mexico,Womens Wear
2.1621205748911168,0.20493268472247705,5.058450432572277e-26,26.0,-20.18944242926796,2.1307882244271745,[-24.36571061 -16.01317425],russia,Beauty
2.3431766048963487,0.1774764523693389,8.459360204502314e-40,26.0,-22.346892302210087,1.8434302174064165,[-25.95994914 -18.73383547],russia,Skincare
2.065188742521633,0.1820296689090667,7.82203429307984e-30,26.0,-19.952053164644724,1.8871800593428365,[-23.65085811 -16.25324822],russia,Mens Wear
2.984775144858706,0.2495302542324464,5.6479566629518244e-33,26.0,-28.99971629714789,2.5848149987770506,[-34.0658606  -23.93357199],russia,Womens Wear
2.7939584455608593,0.12842082110652855,6.025086151503864e-105,34.0,-26.081706138589137,1.3128577870671803,[-28.65486012 -23.50855216],south korea,Beauty
2.6663279663851944,0.09024251533133833,7.33741968969684e-192,34.0,-24.709228889123757,0.9266518506863285,[-26.52543314 -22.89302464],south korea,Skincare
0.6554264708452908,0.10956524176772502,2.2032540968835816e-09,34.0,-3.9762940476495037,1.1482625125783534,[-6.22684722 -1.72574088],south korea,Mens Wear
0.6647728433549576,0.08468833678427852,4.172376090756566e-15,34.0,-3.7699836726178875,0.8847808850119415,[-5.50412234 -2.035845  ],south korea,Womens Wear
2.8696450340744937,0.24436178793773336,7.632873760551829e-32,32.0,-26.53654060844363,2.6078593331578843,[-31.64785098 -21.42523024],united kingdom,Beauty
4.171216926433126,0.27341747236479086,1.5051378154657902e-52,32.0,-41.04862243268656,2.9248114762663264,[-46.78114759 -35.31609728],united kingdom,Skincare
1.810759167797523,0.23608476403078021,1.720586823152627e-14,32.0,-15.473458401699691,2.5069989693730212,[-20.38708609 -10.55983071],united kingdom,Mens Wear
2.812063862393993,0.2561132364571476,4.781513360024076e-28,32.0,-25.607262865830428,2.724237524903798,[-30.9466703  -20.26785543],united kingdom,Womens Wear
3.5331507452725965,0.14105968438188726,1.8726936009237526e-138,34.0,-35.69271679309891,1.5390596840966435,[-38.70921834 -32.67621524],usa,Beauty
4.029717399836131,0.15703370039545364,3.147871238322135e-145,34.0,-41.66677644200219,1.70934146054017,[-45.01702414 -38.31652874],usa,Skincare
